section_code,sid_star_approach_identifier,route_type,transition_identifier,sequence_number,fix_identifier,icao_code,section_code_2,altitude,altitude_2
PD,AKUNA9,4,RW17C,010,,,,,
PD,AKUNA9,4,RW17C,020,SPERA,K4,PC,,
PD,AKUNA9,4,RW17C,030,JGIRL,K4,PC,05000,
PD,AKUNA9,4,RW17C,040,CORTS,K4,PC,,
PD,AKUNA9,4,RW17C,050,BIGGD,K4,PC,,
PD,AKUNA9,4,RW17C,060,CMORE,K4,PC,,
PD,AKUNA9,4,RW17C,070,AKUNA,K4,EA,,
PD,AKUNA9,4,RW17R,010,,,,,
PD,AKUNA9,4,RW17R,020,SPERA,K4,PC,,
PD,AKUNA9,4,RW17R,030,JGIRL,K4,PC,05000,
PD,AKUNA9,4,RW17R,040,CORTS,K4,PC,,
PD,AKUNA9,4,RW17R,050,BIGGD,K4,PC,,
PD,AKUNA9,4,RW17R,060,CMORE,K4,PC,,
PD,AKUNA9,4,RW17R,070,AKUNA,K4,EA,,
PD,AKUNA9,4,RW18L,010,,,,,
PD,AKUNA9,4,RW18L,020,BPARK,K4,PC,,
PD,AKUNA9,4,RW18L,030,YAMEL,K4,PC,05000,
PD,AKUNA9,4,RW18L,040,FIRMN,K4,PC,,
PD,AKUNA9,4,RW18L,050,BINGM,K4,PC,,
PD,AKUNA9,4,RW18L,060,BEMMR,K4,PC,,
PD,AKUNA9,4,RW18L,070,AKUNA,K4,EA,,
PD,AKUNA9,4,RW18R,010,,,,,
PD,AKUNA9,4,RW18R,020,BPARK,K4,PC,,
PD,AKUNA9,4,RW18R,030,YAMEL,K4,PC,05000,
PD,AKUNA9,4,RW18R,040,FIRMN,K4,PC,,
PD,AKUNA9,4,RW18R,050,BINGM,K4,PC,,
PD,AKUNA9,4,RW18R,060,BEMMR,K4,PC,,
PD,AKUNA9,4,RW18R,070,AKUNA,K4,EA,,
PD,AKUNA9,4,RW31L,010,,,,,
PD,AKUNA9,4,RW31L,020,AKUNA,K4,EA,,
PD,AKUNA9,4,RW31R,010,,,,,
PD,AKUNA9,4,RW31R,020,AKUNA,K4,EA,,
PD,AKUNA9,4,RW35C,010,,,,01120,
PD,AKUNA9,4,RW35C,020,CUZEN,K4,PC,05000,
PD,AKUNA9,4,RW35C,030,ITTTT,K4,PC,06000,
PD,AKUNA9,4,RW35C,040,AKUNA,K4,EA,,
PD,AKUNA9,4,RW35L,010,,,,01120,
PD,AKUNA9,4,RW35L,020,CUZEN,K4,PC,05000,
PD,AKUNA9,4,RW35L,030,ITTTT,K4,PC,06000,
PD,AKUNA9,4,RW35L,040,AKUNA,K4,EA,,
PD,AKUNA9,4,RW36B,010,,,,01120,
PD,AKUNA9,4,RW36B,020,HAZKL,K4,PC,05000,
PD,AKUNA9,4,RW36B,030,RYNNE,K4,PC,07000,
PD,AKUNA9,4,RW36B,040,AKUNA,K4,EA,,
PD,AKUNA9,6,MLC,010,AKUNA,K4,EA,,
PD,AKUNA9,6,MLC,020,TIKYS,K4,EA,,
PD,AKUNA9,6,MLC,030,MLC,K4,D,,
PD,ALIAN2,4,RW17C,010,,,,,
PD,ALIAN2,4,RW17C,020,LARRN,K4,PC,05000,
PD,ALIAN2,4,RW17C,030,GIGEM,K4,PC,,
PD,ALIAN2,4,RW17C,040,RBBIT,K4,EA,,
PD,ALIAN2,4,RW17R,010,,,,,
PD,ALIAN2,4,RW17R,020,LARRN,K4,PC,05000,
PD,ALIAN2,4,RW17R,030,GIGEM,K4,PC,,
PD,ALIAN2,4,RW17R,040,RBBIT,K4,EA,,
PD,ALIAN2,4,RW18B,010,,,,01120,
PD,ALIAN2,4,RW18B,020,LARRN,K4,PC,05000,
PD,ALIAN2,4,RW18B,030,GIGEM,K4,PC,,
PD,ALIAN2,4,RW18B,040,RBBIT,K4,EA,,
PD,ALIAN2,4,RW31L,010,,,,,
PD,ALIAN2,4,RW31L,020,RBBIT,K4,EA,,
PD,ALIAN2,4,RW31R,010,,,,,
PD,ALIAN2,4,RW31R,020,RBBIT,K4,EA,,
PD,ALIAN2,4,RW35C,010,,,,,
PD,ALIAN2,4,RW35C,020,GVINE,K4,PC,,
PD,ALIAN2,4,RW35C,030,KMART,K4,PC,05500,
PD,ALIAN2,4,RW35C,040,MARSN,K4,PC,,
PD,ALIAN2,4,RW35C,050,RBBIT,K4,EA,,
PD,ALIAN2,4,RW35L,010,,,,,
PD,ALIAN2,4,RW35L,020,GVINE,K4,PC,,
PD,ALIAN2,4,RW35L,030,KMART,K4,PC,05500,
PD,ALIAN2,4,RW35L,040,MARSN,K4,PC,,
PD,ALIAN2,4,RW35L,050,RBBIT,K4,EA,,
PD,ALIAN2,4,RW36L,010,,,,,
PD,ALIAN2,4,RW36L,020,GVINE,K4,PC,,
PD,ALIAN2,4,RW36L,030,KMART,K4,PC,05500,
PD,ALIAN2,4,RW36L,040,MARSN,K4,PC,,
PD,ALIAN2,4,RW36L,050,RBBIT,K4,EA,,
PD,ALIAN2,4,RW36R,010,,,,,
PD,ALIAN2,4,RW36R,020,GVINE,K4,PC,,
PD,ALIAN2,4,RW36R,030,KMART,K4,PC,05500,
PD,ALIAN2,4,RW36R,040,MARSN,K4,PC,,
PD,ALIAN2,4,RW36R,050,RBBIT,K4,EA,,
PD,ALIAN2,5,,010,RBBIT,K4,EA,,
PD,ALIAN2,5,,020,FUMED,K4,EA,,
PD,ALIAN2,5,,030,ALIAN,K4,EA,,
PD,ARDIA7,4,RW17C,010,,,,01120,
PD,ARDIA7,4,RW17C,020,TREXX,K4,PC,05000,
PD,ARDIA7,4,RW17C,030,DALBY,K4,PC,,
PD,ARDIA7,4,RW17C,040,NEAPS,K4,PC,10000,
PD,ARDIA7,4,RW17C,050,ARDIA,K4,EA,,
