identifier,fix_type,source_section_code,airport_icao,latitude_raw,longitude_raw,elevation_raw,latitude_deg,longitude_deg,elevation_ft
RW17C,runway,PG,KDFW,N32545654,W097013351,00562,32.915705555555554,-97.025975,562.0
SPERA,waypoint,PC,KDFW,N32465775,W096594205,,32.78270833333333,-96.99501388888889,
JGIRL,waypoint,PC,KDFW,N32455436,W096562163,,32.7651,-96.93934166666666,
CORTS,waypoint,PC,KDFW,N32460765,W096495359,,32.768791666666665,-96.83155277777777,
BIGGD,waypoint,PC,KDFW,N32513159,W096483310,,32.858775,-96.80919444444444,
CMORE,waypoint,PC,KDFW,N32591666,W096483249,,32.98796111111111,-96.80902499999999,
AKUNA,waypoint,EA,,N33270248,W096492330,,33.45068888888889,-96.82313888888889,
RW17R,runway,PG,KDFW,N32545660,W097014758,00567,32.91572222222222,-97.02988333333333,567.0
RW18L,runway,PG,KDFW,N32545688,W097030265,00602,32.9158,-97.0507361111111,602.0
BPARK,waypoint,PC,KDFW,N32463176,W097045151,,32.77548888888889,-97.080975,
YAMEL,waypoint,PC,KDFW,N32455570,W097082805,,32.76547222222222,-97.141125,
FIRMN,waypoint,PC,KDFW,N32461777,W097142877,,32.77160277777778,-97.241325,
BINGM,waypoint,PC,KDFW,N32502725,W097162744,,32.84090277777778,-97.27428888888889,
BEMMR,waypoint,PC,KDFW,N33000619,W097161339,,33.00171944444445,-97.27038611111111,
RW18R,runway,PG,KDFW,N32545693,W097031672,00606,32.915813888888884,-97.05464444444443,606.0
RW31L,runway,PG,KDFW,N32532497,W097034780,00577,32.89026944444444,-97.06327777777777,577.0
RW31R,runway,PG,KDFW,N32534193,W097000304,00508,32.894980555555556,-97.00084444444444,508.0
RW35C,runway,PG,KDFW,N32524396,W097013422,00563,32.87887777777778,-97.02617222222221,563.0
CUZEN,waypoint,PC,KDFW,N33043955,W097013012,,33.07765277777778,-97.02503333333333,
ITTTT,waypoint,PC,KDFW,N33073525,W096595561,,33.12645833333333,-96.99878055555556,
RW35L,runway,PG,KDFW,N32524402,W097014829,00563,32.87889444444445,-97.03008055555556,563.0
HAZKL,waypoint,PC,KDFW,N33041504,W097031158,,33.07084444444445,-97.05321666666666,
RYNNE,waypoint,PC,KDFW,N33091330,W097035592,,33.15369444444444,-97.06553333333333,
MLC,vor,D,,,,,,,
TIKYS,waypoint,EA,,N34035993,W096253353,,34.06664722222222,-96.42598055555555,
LARRN,waypoint,PC,KDFW,N32422817,W097031536,,32.707825,-97.05426666666666,
GIGEM,waypoint,PC,KDFW,N32412770,W097081440,,32.69102777777778,-97.13733333333334,
RBBIT,waypoint,EA,,N32404095,W097440240,,32.678041666666665,-97.734,
GVINE,waypoint,PC,KDFW,N33004350,W097045356,,33.01208333333334,-97.08154444444445,
KMART,waypoint,PC,KDFW,N33002519,W097100247,,33.006997222222225,-97.16735277777778,
